x,y
15.2855425,-4.5082116
15.612217,-3.2113607
13.891821,-6.654154
14.677513,-5.6973023
15.765663,-2.7887938
15.636682,-3.2294786
14.64565,-5.7400527
13.979156,-6.585365
14.180068,-6.24898
14.949177,-5.2444935
14.646896,-5.7749124
15.351521,-4.295602
15.495144,-3.8093896
14.003987,-6.5296397
15.086619,-4.9939523
14.831159,-5.4347873
14.203463,-6.2316933
14.04922,-6.4459224
14.765862,-5.567051
14.735767,-5.60446
13.97441,-6.560402
14.943546,-5.1879506
14.029772,-6.421544
14.244288,-6.1344137
13.804116,-6.6250353
13.2481,-5.879997
13.822558,-5.234812
13.529657,-5.995331
13.778494,-5.15967
13.781748,-6.602147
13.559777,-5.788679
13.36764,-5.818729
13.413807,-6.0018897
13.838813,-6.64333
15.437558,-3.431529
15.340365,-2.3036005
15.221484,-2.3224764
15.125975,-2.2212772
15.424127,-2.151974
15.112074,-4.9888387
15.417456,-2.063347
15.327828,-1.7620208
15.422094,-1.648165
15.602887,-3.2438877
15.422493,-2.0602183
15.40077,-1.6694086
15.472552,-2.4461873
15.041435,-5.0550585
15.3714695,-1.9204943
15.353511,-1.8435805
15.443904,-1.6683936
15.374133,-1.5712707
0.9834627,-0.7930135
1.2027801,-1.4225144
0.77675235,-0.4019495
1.0746611,-1.1156516
1.2134719,-1.4355223
1.1045042,-1.1793401
1.1530331,-1.3289555
1.1834693,-1.4004289
1.0140668,-0.5559974
1.3753853,-1.4832133
1.4531676,-1.6598202
1.2207912,-0.47455496
1.1337097,-0.5931338
1.2343142,-1.3272432
0.7942742,0.5387938
1.0809289,-0.5668821
1.0277345,0.15875012
1.0810306,-1.0559798
1.0860654,-1.085875
0.5733931,-0.015826093
0.67921126,0.4144933
0.88375944,-0.5893519
0.7164911,-0.23729572
0.66821057,0.56687176
0.8771947,-0.5744448
0.7109917,0.6513945
0.77089375,-0.25554508
0.70389,0.60605
0.54826313,0.032774553
0.70341295,0.6089389
0.5242366,0.005662082
2.2772815,4.786876
0.52195996,-0.015690885
0.5436284,0.1308744
2.2750943,4.8281217
0.51494485,-0.021693401
0.53358144,-0.090096876
0.52006507,-0.033540346
0.827668,-0.60740393
0.9277927,-0.82745415
0.56376183,0.11839443
0.73448026,-0.41441277
0.5343405,-0.11277099
0.6027717,0.30577242
0.5319259,-0.09557356
0.53334796,-0.09574454
0.5176391,-0.06356973
2.2762372,4.8456025
0.49692973,-0.030279793
0.52069825,-0.079941764
0.7171516,-0.42944598
0.53168386,-0.089476496
-2.0359752,2.8054638
-1.975093,3.1324258
-1.9331217,2.9575536
-2.1779058,3.1297164
-2.351894,2.486849
-2.343466,2.5718753
-2.153044,3.3568337
-1.6930763,4.2151313
-1.704835,3.8652108
-1.8034463,3.1550462
4.1433983,8.693159
-1.8230706,3.1400647
-1.8168783,3.1887877
-1.9365664,3.3190062
-1.7062941,3.6621377
-1.4589375,4.4799542
-1.6448628,4.26772
-1.6587516,3.7749107
-1.6706351,4.211711
-1.4755222,4.4717817
-1.6674538,4.2471986
-1.6759548,4.2358766
-1.6822398,4.182352
-1.6290365,4.2283854
-1.5623175,4.363828
-1.4889786,4.4307647
-1.5353577,4.3810563
-1.5284522,4.3666787
-1.4461454,4.4733887
-1.5521489,4.001125
-1.4500678,4.4858603
-1.4909635,4.4199686
-1.5245667,4.0057006
-1.533319,4.3505573
-1.5018343,4.414537
-1.5953957,3.7454169
-1.5946414,3.775863
-1.5573843,4.343269
-1.6887565,3.3139422
-1.8032255,3.2003872
-1.656636,4.2577143
-1.6574377,3.4030485
-1.6887624,3.1893463
-1.7102436,4.1365647
-1.6318525,3.7736142
