x,y
3.2432852,4.4785886
0.0002739712,5.997983
17.904882,-7.2695823
11.077374,0.19621265
1.2106814,10.006517
0.838416,6.900934
11.531002,-0.16043624
17.345926,-6.363477
15.873453,-4.365912
8.947701,1.3197255
11.814446,-0.30308646
2.9627159,4.5299926
1.8808115,5.223717
17.222519,-6.1312613
7.130264,2.264175
9.479895,0.9089975
16.069363,-4.4271836
16.774706,-5.729719
10.415876,0.3695595
10.535511,0.33514783
17.298182,-6.4679446
8.11547,1.0966506
16.58944,-5.6512284
15.147407,-3.285513
16.807522,-8.638319
11.395209,-10.314809
-3.064399,-13.043811
12.141447,-9.245067
-3.2477295,-13.143535
17.043386,-8.505446
10.729148,-8.926799
11.030658,-9.860508
12.505968,-9.683746
17.335098,-8.139137
-0.4848413,4.6916966
-6.8713737,4.7392693
-7.6084075,3.6589923
-8.523473,2.9057014
-7.156207,5.952381
7.0667553,2.6093962
-7.528679,6.175555
-9.278703,6.3971868
-9.691207,7.1293206
0.16453628,6.0348353
-7.463571,6.283885
-9.619332,6.6335945
-5.9443636,5.6728535
7.2770753,2.0925555
-8.170846,6.1132283
-8.880624,5.762423
-9.336139,7.2962
-10.254942,6.8096633
74.693115,-33.28792
75.04271,-36.35732
75.23578,-26.552502
75.02673,-34.722134
74.87611,-36.429195
74.72009,-35.161217
75.00475,-36.05642
74.962776,-36.404976
73.21017,-28.704569
73.36941,-38.190372
73.24869,-38.319237
71.590256,-29.295465
72.651245,-29.661602
73.90636,-37.72851
72.79105,-19.95173
72.6198,-28.849451
71.110954,-23.69759
74.623886,-33.956287
74.669716,-34.09874
75.80194,-24.322779
74.111885,-20.067408
75.000465,-27.439217
75.2978,-25.624756
74.47772,-17.64205
75.00971,-27.30292
74.34947,-17.604046
75.06787,-25.751158
74.48494,-17.641174
76.27566,-24.020594
74.53145,-17.662941
76.330376,-24.297216
43.982822,29.356514
76.41017,-24.362951
76.41219,-23.698605
44.020306,29.321629
76.44833,-24.405193
76.382,-24.86726
76.36327,-24.45746
75.7029,-27.240997
75.42636,-33.605576
76.259964,-23.737316
75.80472,-26.57647
76.32747,-25.152208
74.840866,-18.06471
76.36628,-24.854448
76.36609,-24.98082
76.4954,-24.74329
44.022564,29.374907
76.564896,-24.410892
76.47627,-24.827637
75.776794,-26.776012
76.40122,-24.881039
18.737389,79.97899
19.260153,82.49912
19.517021,81.11552
17.851315,83.63551
14.221604,76.81921
14.945157,77.3106
17.254536,86.40687
33.214565,81.25391
27.774107,82.75872
21.195272,82.528625
44.435238,76.70291
21.282152,82.44547
21.383286,82.57221
19.533731,84.27867
26.377916,83.29537
36.41691,80.66455
32.635014,82.25384
27.239902,83.47947
31.201452,82.861694
35.431202,81.461685
33.075058,81.80138
32.30383,82.165215
30.955563,82.85433
31.746563,83.48688
34.033222,82.89159
35.333923,82.69519
34.229725,83.48804
34.193317,83.778725
37.17736,82.42763
30.147547,85.36991
36.86892,81.98663
35.66456,83.065186
29.999504,85.445755
33.826366,84.06374
34.958973,83.25112
27.411139,85.33661
27.616213,85.55835
33.553905,83.383
24.008436,82.40349
21.475702,82.54537
32.33334,82.519295
24.216194,82.343834
22.599361,81.700676
30.921335,82.78351
27.34417,83.46749
22.006618,81.59705
33.805717,82.37438
38.323814,74.53813
24.391037,82.31904
21.725475,82.39673
21.139416,82.84811
32.619953,81.26894
-20.575531,-90.803055
-21.712055,-90.8365
-21.53015,-90.821945
-8.23678,-90.68808
-23.548855,-89.84804
-23.228287,-89.90656
-19.204132,-91.531105
-24.014254,-87.77334
-24.139715,-87.86956
-23.825338,-87.84636
-24.43436,-87.640884
-9.633784,-44.57183
-26.033506,-84.42546
-24.880281,-83.27631
-11.465824,-44.848637
-25.067606,-83.24721
-25.255445,-83.23914
-25.57603,-83.7434
-25.537882,-81.98567
-25.104902,-83.158745
-24.993362,-83.6793
-24.796627,-82.45315
-24.797592,-82.47834
-25.056042,-83.24428
-24.591093,-81.23257
-24.12533,-80.01291
-24.367994,-80.76154
-24.557508,-80.04738
-24.171774,-79.478546
-24.219044,-80.316895
-24.396692,-80.66629
-24.423012,-79.93606
-24.273998,-80.484856
-23.982876,-79.230835
-24.011333,-79.9229
-23.90201,-79.75027
-24.132084,-79.263985
-25.326351,-82.944214
-24.413713,-80.624596
-24.370987,-80.808815
-25.448526,-83.38779
-24.75283,-82.52957
-25.222668,-82.97157
-11.249964,-45.267925
-24.830172,-80.37103
-25.596157,-83.71307
-24.598236,-81.735794
9.891473,-94.72825
-24.688978,-82.40874
-24.702545,-82.78496
-26.062515,-84.55556
-10.947781,-45.787544
9.677155,70.08809
10.667755,75.143295
12.222754,80.72186
9.870581,75.550964
4.7520747,60.786034
9.756299,74.12029
10.641044,76.648224
13.291002,85.39789
12.382822,80.52177
12.131016,79.502
13.6274605,87.140205
11.119041,74.747025
12.262809,79.44726
12.189761,81.086395
10.875205,75.48933
13.383792,85.83037
12.876822,82.08866
11.591552,79.35941
13.05534,82.60887
12.679637,81.40086
13.67259,86.74875
12.861637,81.67409
11.242308,75.3883
13.812583,82.33008
16.462294,83.25007
15.943949,79.557465
15.533516,78.76928
14.511151,77.87621
16.785439,85.74116
15.32533,79.176125
15.530249,79.17922
16.040369,83.55926
15.470362,75.030136
16.14469,83.126785
13.880193,79.44071
10.689186,70.559875
12.316396,75.4577
11.169952,64.769585
10.972805,68.54278
10.691105,69.661865
10.411749,70.035286
10.681688,65.46269
11.398446,64.66141
11.03068,74.88454
9.274115,59.383415
11.471193,64.3454
13.624833,83.036896
11.667074,74.76112
11.523881,64.60389
11.171728,64.50235
11.068473,67.117546
10.598915,75.331375
-9.218747,-66.47639
-10.596363,-67.10033
-8.980794,-66.433304
0.29388738,-22.681911
-18.250301,-54.55419
-10.782236,-67.29875
-8.880907,-66.44013
-7.4066305,-66.45885
1.4313241,-24.169752
-8.95103,-66.17066
-7.9397764,-65.86214
-7.5167694,-66.6142
-9.051039,-66.36393
-2.932396,-13.205052
-6.1230345,-1.0944076
-4.7283454,-8.3253975
-4.812912,-9.7655115
7.5532684,-5.7897305
-5.9548497,-7.2315426
-5.06805,-7.585932
-3.8996253,-11.674593
-6.426568,-10.784335
-11.115114,-68.09692
-0.3886966,-48.504692
-0.56266516,-49.12643
1.1427641,-48.424034
1.0028064,-49.436054
-7.695462,-66.66522
3.1493762,-51.472664
-0.06766409,-48.250755
0.13181794,-48.83192
-0.99431,-48.38365
0.85835475,-48.048695
6.649198,-47.19179
1.3045572,-50.360924
1.3421192,-50.471222
1.4572656,-50.271465
-1.2037088,-49.315147
-0.77189773,-48.90426
-1.0967643,-49.127693
-1.1631974,-49.28972
-8.277429,-66.59824
-0.7250321,-46.956165
-1.8805345,-62.53688
-7.562778,-66.160095
-8.761395,-66.48875
-0.22251454,-46.389256
4.3462214,-47.68431
-7.2411413,-66.55598
0.24230038,-22.302904
-7.7393465,-66.6778
-7.1225863,-66.58823
106.14184,-18.683786
105.78534,-16.949776
104.362816,-23.50993
105.561775,-26.206518
106.43602,-16.593565
106.594604,-17.39234
106.80455,-25.30763
110.27857,-20.333618
111.41124,-24.17522
108.28728,-17.89724
108.88928,-18.611534
108.91579,-18.653214
108.82705,-18.576256
109.02499,-18.770853
108.62806,-18.307169
108.99548,-18.712875
114.226746,-23.85517
115.99078,-22.49894
113.218346,-20.408792
115.79486,-22.4601
115.94157,-25.66409
115.05968,-21.522568
115.94134,-22.172676
114.619446,-20.602432
113.69843,-21.810709
117.00296,-27.050924
116.184616,-22.482769
116.69678,-24.336073
118.22909,-26.6142
117.647705,-26.029938
117.66973,-25.73559
115.07596,-22.668388
115.034256,-20.864445
118.28198,-26.476809
116.372734,-29.266214
111.945,-19.369936
114.88637,-24.24613
114.170525,-22.95458
113.85031,-21.791601
113.16454,-21.207346
111.392136,-22.767965
115.339005,-22.189383
117.44719,-24.769117
116.69493,-27.234077
115.94569,-24.458883
116.54425,-22.852938
114.171074,-24.328411
116.37376,-29.294863
111.76513,-19.5554
113.678314,-22.777184
113.69145,-24.793743
113.85359,-24.231575
20.669706,-58.627228
20.017368,-58.850098
20.67241,-58.595703
20.732588,-58.55396
19.968,-58.85545
19.873104,-58.902985
21.47662,-58.567257
21.296911,-57.093605
21.4905,-56.78657
20.59325,-56.709156
21.06222,-56.995613
21.397425,-56.776485
20.719305,-56.676422
21.400965,-57.002937
21.203936,-55.994576
22.551914,-53.745228
27.941902,-53.04345
23.007511,-53.302467
24.624954,-52.035076
22.966745,-53.411263
22.679998,-53.634914
23.003538,-53.380486
22.74168,-53.485157
23.529905,-52.955067
23.358128,-52.44329
25.694267,-51.670475
24.19175,-52.06128
24.722713,-51.95125
25.186289,-51.837948
24.577934,-52.546345
24.210865,-53.190674
26.234241,-52.528866
23.931557,-53.264767
24.111866,-53.106247
30.135769,-53.902355
23.275452,-53.445423
23.174412,-53.30379
25.107971,-52.684746
23.096432,-53.670135
23.056046,-53.879787
23.339642,-53.49159
23.46058,-53.801456
21.578924,-55.06752
23.0061,-53.88295
26.253183,-53.98458
21.127127,-55.82728
20.936049,-55.68894
29.852266,-54.103214
21.336184,-55.22237
20.952065,-56.091686
21.170359,-55.791916
21.465479,-55.46893
28.86002,65.56759
29.569098,66.36999
29.137806,65.77581
29.181776,65.69946
28.25828,64.84824
31.326242,70.62544
28.732475,65.39786
30.17538,67.44178
33.61668,71.29204
29.616098,65.863495
29.707376,66.90072
30.17913,67.92701
29.45774,66.82003
30.543955,69.33751
30.714502,69.59556
32.370483,70.89108
33.407494,71.794075
32.22461,71.35344
31.38022,70.58189
33.86877,72.339676
30.75778,69.44914
31.630575,70.88973
32.948986,71.7454
32.9867,71.23074
32.054344,70.65799
37.11442,73.433655
32.73964,69.82518
33.321873,70.25817
35.71965,72.29513
34.14158,70.689476
33.41813,69.68857
35.99977,72.54297
33.79353,71.54597
34.56992,70.746
37.498768,73.308784
32.12297,70.595894
34.20193,72.229164
30.245218,67.36841
31.37638,70.24791
31.400948,70.68898
33.486496,72.274734
34.09822,72.3115
32.371365,69.84575
35.44182,72.69843
